2026-06-29 18:46:15,990 | INFO | Audio generated successfully.
2026-06-29 18:46:15,994 | INFO | Pipeline finished
2026-06-30 09:55:02,513 | INFO | Pipeline started
2026-06-30 09:55:02,527 | INFO | Starting Text Analyzer
2026-06-30 09:55:02,527 | INFO | Loading script...
2026-06-30 09:55:02,543 | INFO | Normalizing text...
2026-06-30 09:55:02,544 | INFO | Building presentation...
2026-06-30 09:55:02,544 | INFO | Detecting slides...
2026-06-30 09:55:02,545 | INFO | Calculating statistics...
2026-06-30 09:55:02,546 | INFO | Text Analyzer completed
2026-06-30 09:55:02,546 | INFO | Building narration...
2026-06-30 09:55:02,547 | INFO | 3 narration blocks generated.
2026-06-30 09:55:02,547 | INFO | Narration exported to D:\Projetos\SpeechAI\output\narration.txt
2026-06-30 09:55:02,547 | INFO | Building speech text...
2026-06-30 09:55:02,548 | INFO | Speech text generated.
2026-06-30 09:55:02,548 | INFO | Speech text exported to D:\Projetos\SpeechAI\output\speech.txt
2026-06-30 09:58:04,738 | INFO | Pipeline started
2026-06-30 09:58:04,739 | INFO | Starting Text Analyzer
2026-06-30 09:58:04,739 | INFO | Loading script...
2026-06-30 09:58:04,739 | INFO | Normalizing text...
2026-06-30 09:58:04,740 | INFO | Building presentation...
2026-06-30 09:58:04,740 | INFO | Detecting slides...
2026-06-30 09:58:04,740 | INFO | Calculating statistics...
2026-06-30 09:58:04,740 | INFO | Text Analyzer completed
2026-06-30 09:58:04,740 | INFO | Building narration...
2026-06-30 09:58:04,741 | INFO | 3 narration blocks generated.
2026-06-30 09:58:04,741 | INFO | Narration exported to D:\Projetos\SpeechAI\output\narration.txt
2026-06-30 09:58:04,741 | INFO | Building speech text...
2026-06-30 09:58:04,741 | INFO | Speech text generated.
2026-06-30 09:58:04,742 | INFO | Speech text exported to D:\Projetos\SpeechAI\output\speech.txt
2026-06-30 09:58:04,760 | INFO | Generating audio using provider 'edge'
2026-06-30 09:58:18,710 | INFO | Pipeline finished
2026-06-30 10:25:07,251 | INFO | Pipeline started
2026-06-30 10:25:07,251 | INFO | Starting Text Analyzer
2026-06-30 10:25:07,252 | INFO | Loading script...
2026-06-30 10:25:07,252 | INFO | Normalizing text...
2026-06-30 10:25:07,253 | INFO | Building presentation...
2026-06-30 10:25:07,253 | INFO | Detecting slides...
2026-06-30 10:25:07,253 | INFO | Calculating statistics...
2026-06-30 10:25:07,253 | INFO | Text Analyzer completed
2026-06-30 10:25:07,253 | INFO | Building narration...
2026-06-30 10:25:07,254 | INFO | 3 narration blocks generated.
2026-06-30 10:25:07,254 | INFO | Narration exported to D:\Projetos\SpeechAI\output\narration.txt
2026-06-30 10:25:07,255 | INFO | Building speech text...
2026-06-30 10:25:07,255 | INFO | Speech text generated.
